iter	Logloss
0	0.6865833946
1	0.6818217402
2	0.6763261712
3	0.6707520278
4	0.665642531
5	0.6609817173
6	0.6553947615
7	0.6514091492
8	0.6477625474
9	0.6423520627
10	0.6387120952
11	0.6340690281
12	0.6290905994
13	0.6242501632
14	0.619525785
15	0.6148159608
16	0.6106321086
17	0.6065663047
18	0.6024840396
19	0.5981565973
20	0.5942707062
21	0.5903960933
22	0.5860722583
23	0.5818770865
24	0.5778396855
25	0.5742616239
26	0.571731982
27	0.5686556775
28	0.564799599
29	0.5605828244
30	0.5570898471
31	0.5536838614
32	0.5505037722
33	0.5480003357
34	0.5453139595
35	0.5422284499
36	0.5387330263
37	0.5356649316
38	0.5327267439
39	0.5299464516
40	0.5269168771
41	0.5241575656
42	0.5215472346
43	0.5186714089
44	0.5168056488
45	0.5139751849
46	0.5117885755
47	0.5091115703
48	0.5063897423
49	0.5037431302
50	0.5015037785
51	0.4996164571
52	0.4966627619
53	0.4946660995
54	0.4931033176
55	0.4907780523
56	0.4881721994
57	0.486227616
58	0.4841723235
59	0.4823532934
60	0.4802044164
61	0.4781936563
62	0.475767799
63	0.4738587504
64	0.4712781491
65	0.469865799
66	0.467559234
67	0.4649261806
68	0.4627451689
69	0.4611818894
70	0.4593414224
71	0.4574324566
72	0.4555885481
73	0.4540333126
74	0.4522538392
75	0.4504037111
76	0.44814342
77	0.446318502
78	0.4444413392
79	0.4427569016
80	0.4410306267
81	0.4396231278
82	0.4391042461
83	0.4377960122
84	0.4363142511
85	0.4350081734
86	0.4336956688
87	0.432456058
88	0.431174527
89	0.4295383122
90	0.4280561779
91	0.4265665386
92	0.4252273311
93	0.4236200167
94	0.4225843264
95	0.4213553304
96	0.4201792841
97	0.4186858302
98	0.4173639546
99	0.4159712584
100	0.4146675027
101	0.4135615307
102	0.4126318227
103	0.4117063439
104	0.4105743325
105	0.4091365648
106	0.4079845677
107	0.4071940132
108	0.406299052
109	0.4049789595
110	0.4041365333
111	0.4029524845
112	0.4023848824
113	0.401361963
114	0.4002790036
115	0.3988798805
116	0.3977979992
117	0.3966990761
118	0.3956696054
119	0.3953301388
120	0.3942456867
121	0.3931904668
122	0.3922707516
123	0.3912999941
124	0.3901767731
125	0.389046047
126	0.3879812489
127	0.3872222486
128	0.3867482724
129	0.3859006633
130	0.3852810238
131	0.3845266674
132	0.3836905853
133	0.3825263977
134	0.3817032524
135	0.3812522059
136	0.3806681426
137	0.3799812483
138	0.3792148258
139	0.3780176743
140	0.3771881435
141	0.3766493175
142	0.375859302
143	0.3751075579
144	0.3740698773
145	0.3733288723
146	0.3726223241
147	0.3718956657
148	0.3711899052
149	0.3702590777
150	0.3696325136
151	0.368857052
152	0.3682698374
153	0.3676018508
154	0.3667782493
155	0.3659318841
156	0.3650277594
157	0.3642708322
158	0.3635591424
159	0.36295443
160	0.3623651836
161	0.3617127875
162	0.3612364064
163	0.3607499496
164	0.3602479022
165	0.3598671374
166	0.3592183486
167	0.3586368146
168	0.3578150791
169	0.3571989225
170	0.3567103096
171	0.355835417
172	0.3550127693
173	0.3545321589
174	0.3540578096
175	0.3535638063
176	0.3528852463
177	0.3523661987
178	0.3515544145
179	0.3509166552
180	0.3503785341
181	0.3496494293
182	0.3490316971
183	0.3488125179
184	0.3484416215
185	0.3477802069
186	0.347217
187	0.3467751379
188	0.3461924843
189	0.3454298766
190	0.344610774
191	0.3439304932
192	0.3434312862
193	0.3432974608
194	0.3427007302
195	0.3422584119
196	0.3414241749
197	0.341237545
198	0.3408594339
199	0.3405107415
200	0.3399301197
201	0.3395070822
202	0.339000536
203	0.3382057729
204	0.3376885704
205	0.3371884097
206	0.3365924255
207	0.3362063947
208	0.3358870797
209	0.3355428862
210	0.3348091789
211	0.334354214
212	0.3338300249
213	0.3332868659
214	0.3327972163
215	0.3322109969
216	0.3317123911
217	0.3313086137
218	0.3308821968
219	0.3303363634
220	0.3298279721
221	0.3297816774
222	0.3294774346
223	0.3289673847
224	0.3285236151
225	0.3281370661
226	0.3277771162
227	0.3272319462
228	0.3266571294
229	0.3262249283
230	0.3258244888
231	0.3252966922
232	0.3249193482
233	0.3244898423
234	0.3242061034
235	0.3238362851
236	0.3234404274
237	0.3230221375
238	0.3225644153
239	0.3222878912
240	0.3220001096
241	0.3215444814
242	0.3209772939
243	0.3204617708
244	0.3201099893
245	0.3196212105
246	0.3192199002
247	0.3187819564
248	0.3183611787
249	0.3180142486
250	0.3177619395
251	0.3175032657
252	0.3172570933
253	0.3168787334
254	0.3163530101
255	0.3160135228
256	0.315821544
257	0.3153878917
258	0.3150772012
259	0.3146605077
260	0.3143362792
261	0.3140521671
262	0.3135966633
263	0.3132371902
264	0.3127894194
265	0.3125546497
266	0.3121313841
267	0.3116789693
268	0.3113416589
269	0.3110589774
270	0.3108388445
271	0.3104794751
272	0.310248292
273	0.3099905512
274	0.3094688291
275	0.3091621814
276	0.3088932037
277	0.3084776713
278	0.3079535443
279	0.3076328609
280	0.3071143316
281	0.3067969861
282	0.3066456629
283	0.3061926469
284	0.305832697
285	0.3056214789
286	0.3052358627
287	0.3047287568
288	0.3044360617
289	0.3041691987
290	0.3038943747
291	0.30328535
292	0.3029456553
293	0.3025749248
294	0.302281048
295	0.3020822691
296	0.3016259567
297	0.3012817632
298	0.3010276712
299	0.3006294499
300	0.3002989396
301	0.2999563632
302	0.2997554903
303	0.2993861489
304	0.2993175672
305	0.2990217416
306	0.2985335226
307	0.2981605944
308	0.297931215
309	0.2975539125
310	0.2973206147
311	0.29713838
312	0.2969930898
313	0.2966015028
314	0.2960557523
315	0.2957893247
316	0.2955510927
317	0.2952004101
318	0.2947104081
319	0.2943881906
320	0.2941962947
321	0.2938926946
322	0.2936044983
323	0.2933998523
324	0.2932027734
325	0.293043572
326	0.2927143885
327	0.2922994365
328	0.2922007934
329	0.2919375793
330	0.2916558307
331	0.2914325465
332	0.2911614128
333	0.2909540301
334	0.2905775568
335	0.290346353
336	0.2900848596
337	0.2897007362
338	0.2894896424
339	0.2892321711
340	0.2889462139
341	0.2885988277
342	0.2883106729
343	0.2880549638
344	0.2879735076
345	0.2876220164
346	0.2873359348
347	0.2872413138
348	0.2870315676
349	0.2867527215
350	0.2865620903
351	0.2862751588
352	0.2859520705
353	0.2856714415
354	0.285427985
355	0.2851815224
356	0.2850589338
357	0.2848294714
358	0.2845267835
359	0.2841248098
360	0.2839760988
361	0.2838209608
362	0.283415048
363	0.2830486298
364	0.2828607145
365	0.2825054708
366	0.2823662551
367	0.2821241669
368	0.2817482326
369	0.2814910723
370	0.2813133571
371	0.2810829411
372	0.2809333387
373	0.2807170619
374	0.2803524059
375	0.2801338901
376	0.2799537078
377	0.279736975
378	0.2795591354
379	0.279366431
380	0.2790056726
381	0.2786423227
382	0.2784471097
383	0.2781728454
384	0.2778483681
385	0.2775755758
386	0.2773906459
387	0.2770742126
388	0.2768591798
389	0.2766211344
390	0.276361113
391	0.2761169102
392	0.2759353182
393	0.2757334502
394	0.2754049923
395	0.275211272
396	0.275025658
397	0.2749433932
398	0.2747633975
399	0.2746408089
400	0.2741679523
401	0.2738108428
402	0.2735185209
403	0.2733381106
404	0.2731186825
405	0.273048318
406	0.272842656
407	0.2726241402
408	0.2724534325
409	0.2721379322
410	0.2717637808
411	0.2715500956
412	0.271266025
413	0.2710147111
414	0.2708521926
415	0.2706386317
416	0.2703361511
417	0.2700208996
418	0.2695885534
419	0.2693048353
420	0.2690774254
421	0.2689847117
422	0.2686633442
423	0.2684616006
424	0.2682561874
425	0.2679884537
426	0.2677142516
427	0.2674589364
428	0.2671709061
429	0.2668363322
430	0.2665733047
431	0.2663177407
432	0.266026642
433	0.2658733907
434	0.2656365685
435	0.2654173271
436	0.2650939071
437	0.2650033287
438	0.2647642467
439	0.2645093254
440	0.2643119978
441	0.2640765854
442	0.2637362895
443	0.2635925956
444	0.2633431061
445	0.2630832921
446	0.2629347262
447	0.2627404669
448	0.2625280878
449	0.2622935461
450	0.262184226
451	0.2619066653
452	0.2616296436
453	0.2613994764
454	0.2611312659
455	0.2610523804
456	0.2608820044
457	0.2608480868
458	0.2606749742
459	0.260456873
460	0.2600984366
461	0.2598832172
462	0.2598725402
463	0.2597741044
464	0.2594270706
465	0.2590745843
466	0.2588896544
467	0.2586330331
468	0.2585686186
469	0.2584024098
470	0.2581770109
471	0.2579957299
472	0.2578363419
473	0.2576203761
474	0.2575247184
475	0.2572761619
476	0.2568537671
477	0.2566261913
478	0.256479284
479	0.2563252656
480	0.2561422224
481	0.2559945894
482	0.2558420845
483	0.2556125807
484	0.2554662331
485	0.2554572769
486	0.2551957421
487	0.2549824507
488	0.254812987
489	0.2545807673
490	0.2543112299
491	0.2541010069
492	0.2539205551
493	0.253587474
494	0.2533553994
495	0.2532120788
496	0.2529527415
497	0.2527868022
498	0.2526173592
499	0.252483907
500	0.2524390843
501	0.252311437
502	0.2522107415
503	0.2520338556
504	0.2518273644
505	0.2516700289
506	0.2515096457
507	0.2513173145
508	0.2510783776
509	0.2509209177
510	0.2505493164
511	0.2502805876
512	0.2500982285
513	0.2498536317
514	0.2496755641
515	0.2494289979
516	0.2492377447
517	0.2489774123
518	0.2487182203
519	0.2484002735
520	0.2482927157
521	0.2480588167
522	0.2479088203
523	0.2477940269
524	0.2475505912
525	0.247218132
526	0.2471735166
527	0.2468297378
528	0.2466527275
529	0.2462942911
530	0.2460855401
531	0.2457631567
532	0.245557246
533	0.2453065955
534	0.2450328495
535	0.2448547612
536	0.2446424443
537	0.2445036847
538	0.2444866844
539	0.2441765744
540	0.2439069333
541	0.2437767361
542	0.2433745343
543	0.2432186293
544	0.2430878929
545	0.2428937166
546	0.2425740283
547	0.242362748
548	0.2421754754
549	0.2419590535
550	0.2417894654
551	0.2416350738
552	0.2414506415
553	0.2412831265
554	0.2411555829
555	0.2408844077
556	0.2407403822
557	0.2405787344
558	0.24048034
559	0.2402288603
560	0.2401785643
561	0.2399214247
562	0.2396441335
563	0.2394094467
564	0.2392473221
565	0.2389537562
566	0.2387802705
567	0.2386954142
568	0.2385761012
569	0.238358311
570	0.2382025511
571	0.2380302471
572	0.2379175269
573	0.2376851206
574	0.2375809835
575	0.2373511895
576	0.2372216556
577	0.2370539541
578	0.236830587
579	0.2365662948
580	0.2364462148
581	0.2363170541
582	0.2361533745
583	0.2360201297
584	0.2359170499
585	0.235708983
586	0.2354834391
587	0.2351175598
588	0.2350371402
589	0.2348935086
590	0.2347456476
591	0.2345318172
592	0.2342660116
593	0.234137618
594	0.2339410575
595	0.2337008352
596	0.2336347414
597	0.2333976911
598	0.2330928471
599	0.2327987007
600	0.2326724426
601	0.232205847
602	0.2320941842
603	0.2319289498
604	0.2316161446
605	0.2313958044
606	0.2312091744
607	0.230978406
608	0.2309262027
609	0.2308638407
610	0.2306987514
611	0.2304742647
612	0.2302420658
613	0.2300032325
614	0.2296518658
615	0.2294137789
616	0.2293637939
617	0.2292436309
618	0.2289717508
619	0.2288834116
620	0.228577987
621	0.2283711848
622	0.2282185555
623	0.2280224303
624	0.2278934976
625	0.2276277127
626	0.2274307375
627	0.2272448332
628	0.2271817249
629	0.227046469
630	0.2268835565
631	0.2267193587
632	0.22650246
633	0.2263773213
